Date,Total_Collection,Revenue_Type
2020-06-02,1600,Screen-1
2020-06-02,1700,Screen-2
2020-06-02,2500,Screen-3
2020-06-02,2655,Food & Beverages
2020-06-02,1250,Advertisment
2020-06-03,2100,Screen-1
2020-06-03,2700,Screen-2
2020-06-03,1455,Screen-3
2020-06-03,1200,Food & Beverages
2020-06-03,2300,Advertisment
2020-06-03,4500,Screen-1
2020-06-04,5100,Screen-2
2020-06-04,6000,Screen-3
2020-06-04,3200,Food & Beverages
2020-06-04,4000,Advertisment
2020-07-01,1456,Screen-1
2020-07-01,7895,Screen-2
2020-07-01,8560,Screen-3
2020-07-01,4520,Food & Beverages
2020-07-01,1230,Advertisment
2020-07-02,1450,Screen-1
2020-07-02,5690,Screen-2
2020-07-02,2560,Screen-3
2020-07-02,2500,Food & Beverages
2020-07-02,2304,Advertisment
2020-07-03,1234,Screen-1
2020-07-03,5620,Screen-2
2020-07-03,5210,Screen-3
2020-07-03,5230,Food & Beverages
2020-07-03,7890,Advertisment
2020-07-03,4500,Screen-1
2020-07-04,6500,Screen-2
2020-07-04,4500,Screen-3
2020-07-04,2300,Food & Beverages
2020-07-04,1236,Advertisment
2020-08-01,8008,Screen-1
2020-08-01,1651,Screen-2
2020-08-01,1615,Screen-3
2020-08-01,5005,Food & Beverages
2020-08-01,664,Advertisment
2020-08-02,8000,Screen-1
2020-08-02,5000,Screen-2
2020-08-02,6000,Screen-3
2020-08-02,2000,Food & Beverages
2020-08-02,800,Advertisment
2020-08-03,10000,Screen-1
2020-08-03,6442,Screen-2
2020-08-03,4664,Screen-3
2020-08-03,900,Food & Beverages
2020-08-03,500,Advertisment
2020-08-04,644,Screen-1
2020-08-04,9121,Screen-2
2020-08-04,5000,Screen-3
2020-08-04,700,Food & Beverages
2020-08-04,641,Advertisment
2020-09-01,5654,Screen-1
2020-09-01,2314,Screen-2
2020-09-01,4580,Screen-3
2020-09-01,1254,Food & Beverages
2020-09-01,800,Advertisment
2020-09-02,5841,Screen-1
2020-09-02,6131,Screen-2
2020-09-02,4664,Screen-3
2020-09-02,2331,Food & Beverages
2020-09-02,354,Advertisment
2020-09-03,4691,Screen-1
2020-09-03,1346,Screen-2
2020-09-03,1641,Screen-3
2020-09-03,131,Food & Beverages
2020-09-03,1364,Advertisment
2020-09-04,8974,Screen-1
2020-09-04,1464,Screen-2
2020-09-04,7664,Screen-3
2020-09-04,5640,Food & Beverages
2020-09-04,464,Advertisment
2020-10-01,7974,Screen-1
2020-10-01,1644,Screen-2
2020-10-01,1651,Screen-3
2020-10-01,4684,Food & Beverages
2020-10-01,646,Advertisment
2020-10-02,7922,Screen-1
2020-10-02,964,Screen-2
2020-10-02,1651,Screen-3
2020-10-02,665,Food & Beverages
2020-10-02,651,Advertisment
2020-10-03,4654,Screen-1
2020-10-03,4637,Screen-2
2020-10-03,4646,Screen-3
2020-10-03,6453,Food & Beverages
2020-10-03,613,Advertisment
2020-10-04,6632,Screen-1
2020-10-04,1643,Screen-2
2020-10-04,6131,Screen-3
2020-10-04,6311,Food & Beverages
2020-10-04,131,Advertisment
2020-11-01,6846,Screen-1
2020-11-01,3513,Screen-2
2020-11-01,5133,Screen-3
2020-11-01,1310,Food & Beverages
2020-11-01,461,Advertisment
2020-11-02,4645,Screen-1
2020-11-02,1313,Screen-2
2020-11-02,3131,Screen-3
2020-11-02,1351,Food & Beverages
2020-11-02,163,Advertisment
2020-11-03,5131,Screen-1
2020-11-03,1311,Screen-2
2020-11-03,1313,Screen-3
2020-11-03,464,Food & Beverages
2020-11-03,163,Advertisment
2020-11-04,4646,Screen-1
2020-11-04,1134,Screen-2
2020-11-04,4646,Screen-3
2020-11-04,469,Food & Beverages
2020-11-04,894,Advertisment
2020-12-01,5461,Screen-1
2020-12-01,6311,Screen-2
2020-12-01,4645,Screen-3
2020-12-01,654,Food & Beverages
2020-12-01,564,Advertisment
2020-12-02,4654,Screen-1
2020-12-02,7986,Screen-2
2020-12-02,1314,Screen-3
2020-12-02,465,Food & Beverages
2020-12-02,4644,Advertisment
2020-12-03,5131,Screen-1
2020-12-03,1311,Screen-2
2020-12-03,1313,Screen-3
2020-12-03,464,Food & Beverages
2020-12-03,163,Advertisment
2020-12-04,4646,Screen-1
2020-12-04,1134,Screen-2
2020-12-04,4646,Screen-3
2020-12-04,469,Food & Beverages
2020-12-04,894,Advertisment
